Open time,Close,EMA_12,EMA_26,RSI,Signal_Type
2021-02-05,38290.24,35289.22037074506,35105.25613516419,63.22423214099179,做多
2021-04-22,51690.96,56992.90146210237,57420.0147861535,35.109945708910594,平仓
2021-05-08,58862.05,56447.86462575249,56232.07775398553,56.01015631543817,做多
2021-05-12,49631.32,55525.61300184315,55864.87515974605,37.99024103293276,平仓
2021-07-26,37237.6,33663.02997744978,33620.2755517031,63.9051261798522,做多
2021-09-13,44940.73,46859.26386945493,46884.313357006446,43.899932381680784,平仓
2021-09-15,48121.41,47086.278273396725,46991.53359139785,53.65977934249495,做多
2021-09-20,43015.62,46684.455742469734,46855.58844536622,39.02956824433972,平仓
2021-10-04,49224.94,45801.0377311967,45569.89940469719,60.156910421347,做多
2021-11-20,59707.51,61151.318365262116,61279.62747775918,46.18110205475228,平仓
2022-02-08,44042.99,40770.109499528095,40675.884996430104,63.481607223298,做多
2022-02-20,38386.89,41140.35341299126,41265.77463360382,38.7596845583609,平仓
2022-03-02,43892.98,41001.13092971752,40777.19992341096,59.544894767415535,做多
2022-03-06,38420.81,40326.82485634236,40503.231296686565,43.79475302219085,平仓
2022-03-18,41757.51,40144.285524683124,40122.23083200628,55.27382564989364,做多
2022-04-11,39530.45,43240.89286479837,43344.79284535076,35.372739176197804,平仓
2022-07-21,23152.19,21841.924026078654,21721.21067516553,59.58617021141082,做多
2022-08-20,21140.07,22900.196994762246,22987.303422288092,35.849566780605805,平仓
2022-10-26,20771.59,19628.30299279805,19543.7780475281,65.54407384903827,做多
2022-11-09,15922.81,19587.169420845705,19788.958826314218,24.491718910565936,平仓
2022-12-14,17803.15,17249.127133789407,17221.03173528847,59.16169706558183,做多
2022-12-16,16632.12,17168.159663837385,17186.68904602921,42.42263898802747,平仓
2023-01-09,17178.26,16898.63068734031,16883.6525720925,59.06059307844597,做多
2023-03-06,22410.0,22981.390563148816,23033.033119883796,43.57944180272989,平仓
2023-03-15,24285.66,22806.26873352098,22744.71758454951,60.136486753169,做多
2023-05-09,27628.27,28483.036037730115,28529.810162921505,42.90985424053792,平仓
2023-06-21,29993.89,27131.36068320392,26912.92229406944,70.57436349504962,做多
2023-07-25,29228.91,29827.67948709841,29833.245720688483,42.853718381691316,平仓
2023-09-22,26580.14,26565.892652807794,26565.857198841735,50.002516660326904,做多
2023-09-24,26248.38,26518.355094613864,26543.033291188047,45.376797245992115,平仓
2023-09-29,26906.96,26583.118839252715,26560.133668995015,55.31926609790224,做多
2024-01-18,41327.5,43181.000394302835,43260.15200589178,41.99046261295037,平仓
2024-02-03,43011.09,42484.97078359715,42437.76961973461,53.575565479745656,做多
2024-04-15,63419.99,67140.90941247923,67285.09960031629,42.110808429774806,平仓
2024-05-17,67024.0,63707.08707788703,63585.68610317711,58.6888832843691,做多
2024-06-16,66676.87,67689.25784212664,67745.76896880585,45.49165059030786,平仓
2024-07-18,63987.92,61593.21853354555,61524.72821570395,58.17489247066761,做多
2024-08-04,58161.0,63546.24577035325,63846.18931987286,33.19397165418715,平仓
2024-08-24,64157.01,60951.639614143816,60913.03628492939,58.62312987392475,做多
2024-08-28,59034.9,60968.687377566595,60987.62030441863,44.62143058273194,平仓
2024-09-18,61759.99,59070.64079106456,58931.90047955929,58.830169125776656,做多
2024-12-29,93738.2,96732.0647277331,96941.0717696606,43.33461200929796,平仓
2025-01-05,98363.61,96757.35943079776,96723.849507316,54.55402387744815,做多
2025-01-09,92552.49,96421.89904857358,96639.54203220172,41.85214029450531,平仓
2025-01-16,99987.3,96975.1472170434,96717.25956607398,57.59093766506865,做多
